scanner_rs,kingfisher,trufflehog,gitleaks
gitlab-incoming-mail-token,yes,Gitlab,gitlab-incoming-mail-token
gitlab-kubernetes-agent-token,yes,Gitlab,gitlab-kubernetes-agent-token
gitlab-oauth-app-secret,yes,Gitlab,gitlab-oauth-app-secret
gitlab-pat,yes,Gitlab,gitlab-pat
gitlab-pat-routable,yes,Gitlab,gitlab-pat-routable
gitlab-ptt,yes,Gitlab,gitlab-ptt
gitlab-rrt,yes,Gitlab,gitlab-rrt
gitlab-runner-authentication-token,yes,Gitlab,gitlab-runner-authentication-token
gitlab-runner-authentication-token-routable,yes,Gitlab,gitlab-runner-authentication-token-routable
gitlab-scim-token,yes,Gitlab,gitlab-scim-token
gitlab-session-cookie,yes,Gitlab,gitlab-session-cookie
gitter-access-token,yes,Gitter,gitter-access-token
gocardless-api-token,yes,GoCardless,gocardless-api-token
grafana-api-key,yes,Grafana,grafana-api-key
grafana-cloud-api-token,yes,Grafana,grafana-cloud-api-token
grafana-service-account-token,yes,GrafanaServiceAccount,grafana-service-account-token
harness-api-key,yes,Harness,harness-api-key
hashicorp-tf-api-token,yes,HashiCorpVaultAuth,hashicorp-tf-api-token
hashicorp-tf-password,yes,HashiCorpVaultAuth,hashicorp-tf-password
heroku-api-key,yes,Heroku,heroku-api-key
heroku-api-key-v2,yes,Heroku,heroku-api-key-v2
hubspot-api-key,yes,HubSpot,hubspot-api-key
huggingface-access-token,yes,HuggingFace,huggingface-access-token
huggingface-organization-api-token,yes,HuggingFace,huggingface-organization-api-token
infracost-api-token,yes,,infracost-api-token
intercom-api-key,yes,Intercom,intercom-api-key
intra42-client-secret,yes,Intra42,intra42-client-secret
jfrog-api-key,yes,,jfrog-api-key
jfrog-identity-token,yes,,jfrog-identity-token
jwt,yes,,jwt
jwt-base64,yes,,jwt-base64
kraken-access-token,yes,Kraken,kraken-access-token
kubernetes-secret-yaml,yes,,kubernetes-secret-yaml
kucoin-access-token,yes,KuCoin,kucoin-access-token
kucoin-secret-key,yes,KuCoin,kucoin-secret-key
launchdarkly-access-token,yes,LaunchDarkly,launchdarkly-access-token
linear-api-key,yes,LinearAPI,linear-api-key
linear-client-secret,yes,LinearAPI,linear-client-secret
linkedin-client-id,yes,,linkedin-client-id
linkedin-client-secret,yes,,linkedin-client-secret
lob-api-key,yes,Lob,lob-api-key
lob-pub-api-key,yes,Lob,lob-pub-api-key
looker-client-id,yes,,looker-client-id
looker-client-secret,yes,,looker-client-secret
mailchimp-api-key,yes,Mailchimp,mailchimp-api-key
mailgun-private-api-token,yes,Mailgun,mailgun-private-api-token
mailgun-pub-key,yes,Mailgun,mailgun-pub-key
mailgun-signing-key,yes,Mailgun,mailgun-signing-key
mapbox-api-token,yes,MapBox,mapbox-api-token
mattermost-access-token,yes,MattermostPersonalToken,mattermost-access-token
maxmind-license-key,yes,MaxMindLicense,maxmind-license-key
messagebird-api-token,yes,MessageBird,messagebird-api-token
messagebird-client-id,yes,MessageBird,messagebird-client-id
microsoft-teams-webhook,yes,MicrosoftTeamsWebhook,microsoft-teams-webhook
netlify-access-token,yes,Netlify,netlify-access-token
new-relic-browser-api-token,yes,NewRelicPersonalApiKey,new-relic-browser-api-token
new-relic-insert-key,yes,NewRelicPersonalApiKey,new-relic-insert-key
new-relic-user-api-id,yes,NewRelicPersonalApiKey,new-relic-user-api-id
new-relic-user-api-key,yes,NewRelicPersonalApiKey,new-relic-user-api-key
notion-api-token,yes,Notion,notion-api-token
npm-access-token,yes,NpmToken,npm-access-token
nuget-config-password,yes,,nuget-config-password
nytimes-access-token,yes,Nytimes,nytimes-access-token
octopus-deploy-api-key,yes,,octopus-deploy-api-key
okta-access-token,yes,Okta,okta-access-token
openai-api-key,yes,OpenAI,openai-api-key
openshift-user-token,yes,,openshift-user-token
perplexity-api-key,yes,,perplexity-api-key
pkcs12-file,yes,,pkcs12-file
plaid-api-token,yes,PlaidKey,plaid-api-token
plaid-client-id,yes,PlaidKey,plaid-client-id
plaid-secret-key,yes,PlaidKey,plaid-secret-key
planetscale-api-token,yes,PlanetScale,planetscale-api-token
planetscale-oauth-token,yes,PlanetScale,planetscale-oauth-token
planetscale-password,yes,PlanetScale,planetscale-password
postman-api-token,yes,Postman,postman-api-token
prefect-api-token,yes,Prefect,prefect-api-token
private-key,yes,PrivateKey,private-key
privateai-api-token,yes,,privateai-api-token
pulumi-api-token,yes,Pulumi,pulumi-api-token
pypi-upload-token,yes,PyPI,pypi-upload-token
rapidapi-access-token,yes,RapidApi,rapidapi-access-token
readme-api-token,yes,ReadMe,readme-api-token
rubygems-api-token,yes,RubyGems,rubygems-api-token
scalingo-api-token,yes,,scalingo-api-token
sendbird-access-id,yes,Sendbird,sendbird-access-id
sendbird-access-token,yes,Sendbird,sendbird-access-token
sendgrid-api-token,yes,SendGrid,sendgrid-api-token
sendinblue-api-token,yes,SendinBlueV2,sendinblue-api-token
sentry-access-token,yes,SentryToken,sentry-access-token
sentry-org-token,yes,SentryOrgToken,sentry-org-token
sentry-user-token,yes,SentryToken,sentry-user-token
settlemint-application-access-token,yes,,settlemint-application-access-token
settlemint-personal-access-token,yes,,settlemint-personal-access-token
settlemint-service-access-token,yes,,settlemint-service-access-token
shippo-api-token,yes,,shippo-api-token
shopify-access-token,yes,Shopify,shopify-access-token
shopify-custom-access-token,yes,Shopify,shopify-custom-access-token
shopify-private-app-access-token,yes,Shopify,shopify-private-app-access-token
shopify-shared-secret,yes,Shopify,shopify-shared-secret
sidekiq-secret,yes,,sidekiq-secret
sidekiq-sensitive-url,yes,,sidekiq-sensitive-url
slack-app-token,yes,Slack,slack-app-token
slack-bot-token,yes,Slack,slack-bot-token
slack-config-access-token,yes,Slack,slack-config-access-token
slack-config-refresh-token,yes,Slack,slack-config-refresh-token
slack-legacy-bot-token,yes,Slack,slack-legacy-bot-token
slack-legacy-token,yes,Slack,slack-legacy-token
slack-legacy-workspace-token,yes,Slack,slack-legacy-workspace-token
slack-user-token,yes,Slack,slack-user-token
slack-webhook-url,yes,SlackWebhook,slack-webhook-url
snyk-api-token,yes,SnykKey,snyk-api-token
sonar-api-token,yes,SonarCloud,sonar-api-token
sourcegraph-access-token,yes,Sourcegraph,sourcegraph-access-token
square-access-token,yes,Square,square-access-token
squarespace-access-token,yes,Squarespace,squarespace-access-token
stripe-access-token,yes,Stripe,stripe-access-token
sumologic-access-id,yes,SumoLogicKey,sumologic-access-id
sumologic-access-token,yes,SumoLogicKey,sumologic-access-token
telegram-bot-api-token,yes,TelegramBotToken,telegram-bot-api-token
travisci-access-token,yes,TravisCI,travisci-access-token
twilio-api-key,yes,Twilio,twilio-api-key
twitch-api-token,yes,Twitch,twitch-api-token
twitter-access-secret,yes,,twitter-access-secret
twitter-access-token,yes,,twitter-access-token
twitter-api-key,yes,,twitter-api-key
twitter-api-secret,yes,,twitter-api-secret
twitter-bearer-token,yes,,twitter-bearer-token
typeform-api-token,yes,Typeform,typeform-api-token
vault-batch-token,yes,HashiCorpVaultAuth,vault-batch-token
vault-service-token,yes,HashiCorpVaultAuth,vault-service-token
vault-service-token-legacy,yes,HashiCorpVaultAuth,
yandex-access-token,yes,,yandex-access-token
yandex-api-key,yes,,yandex-api-key
yandex-aws-access-token,yes,,yandex-aws-access-token
zendesk-secret-key,yes,ZendeskApi,zendesk-secret-key
